ProcessedItems,instantaneous_ops_per_sec,keyspace_hits,keyspace_misses,hitRate,used_memory,evicted_keys,MemoryFragmentationRatio,keyspace,totalExecutionTime
1,0,0,2,0,549144,0,8.7641857144938,2,0.00026822090148926
1313,1075,637,677,0.48477929984779,624864,0,7.7021559891432,677,0.10045599937439
2626,1075,1760,867,0.66996574038828,641584,0,7.5014339509713,867,0.15551900863647
3939,2669,2993,947,0.75964467005076,648624,0,7.4200152939145,947,0.20225405693054
5252,2669,4277,976,0.81420140871883,651176,0,7.3909357838741,976,0.24327206611633
6565,4684,5582,984,0.85013706975327,651880,0,7.382953917899,984,0.28179407119751
7878,4684,6884,995,0.87371493844396,652848,0,7.3720069602725,995,0.33070206642151
9191,6575,8195,997,0.89153611836379,653024,0,7.3700200911452,997,0.37104105949402
10504,6575,9506,999,0.90490242741552,653200,0,7.3680342927128,999,0.40852618217468
11817,6575,10819,999,0.91546793027585,653200,0,7.3680342927128,999,0.44550919532776
13130,8758,12132,999,0.92392049348869,653200,0,7.3680342927128,999,0.48361921310425
14443,8758,13445,999,0.93083633342564,653200,0,7.3680342927128,999,0.52335715293884
15756,8758,14758,999,0.93659960652408,653200,0,7.3680342927128,999,0.56179714202881
17069,10881,16071,999,0.9414762741652,653200,0,7.3680342927128,999,0.60099720954895
18382,10881,17384,999,0.94565631289779,653200,0,7.3680342927128,999,0.64088010787964
19695,12935,18697,999,0.94927904142973,653200,0,7.3680342927128,999,0.68329310417175
21008,12935,20010,999,0.95244895044981,653200,0,7.3680342927128,999,0.72020316123962
22321,12935,21323,999,0.95524594570379,653200,0,7.3680342927128,999,0.76065707206726
23634,15015,22636,999,0.95773217685636,653200,0,7.3680342927128,999,0.80198407173157
24947,15015,23949,999,0.95995670995671,653200,0,7.3680342927128,999,0.8425509929657
26260,16981,25262,999,0.96195879821789,653200,0,7.3680342927128,999,0.88462114334106
27573,16981,26575,999,0.96377021832161,653200,0,7.3680342927128,999,0.93016409873962
28886,18954,27888,999,0.96541696957109,653200,0,7.3680342927128,999,0.96837210655212
30199,18954,29201,999,0.96692052980132,653200,0,7.3680342927128,999,1.0060431957245
31512,18954,30514,999,0.96829879732174,653200,0,7.3680342927128,999,1.0466251373291
32825,21013,31827,999,0.96956680679949,653200,0,7.3680342927128,999,1.0909039974213
34138,21013,33140,999,0.97073727994376,653200,0,7.3680342927128,999,1.1316151618958
35451,23045,34453,999,0.97182105381925,653200,0,7.3680342927128,999,1.1701321601868
36764,23045,35766,999,0.97282741738066,653200,0,7.3680342927128,999,1.2072842121124
38077,23045,37079,999,0.97376437838122,653200,0,7.3680342927128,999,1.247346162796
39390,25149,38392,999,0.97463887690081,653200,0,7.3680342927128,999,1.2864692211151
40703,25149,39705,999,0.97545695754717,653200,0,7.3680342927128,999,1.3236060142517
42016,27256,41018,999,0.97622390937002,653200,0,7.3680342927128,999,1.3647391796112
43329,27256,42331,999,0.97694438033695,653200,0,7.3680342927128,999,1.4069440364838
44642,27256,43644,999,0.97762247160809,653200,0,7.3680342927128,999,1.4457831382751
45955,29314,44957,999,0.97826181564975,653200,0,7.3680342927128,999,1.4826130867004
47268,29314,46270,999,0.97886564132941,653200,0,7.3680342927128,999,1.5294711589813
48581,31296,47583,999,0.97943682845498,653200,0,7.3680342927128,999,1.5678360462189
49894,31296,48896,999,0.97997795370278,653200,0,7.3680342927128,999,1.6053211688995
51207,31296,50209,999,0.98049132947977,653200,0,7.3680342927128,999,1.6436080932617
52520,32373,51522,999,0.98097903695665,653200,0,7.3680342927128,999,1.6819062232971
53833,32373,52835,999,0.98144295426682,653200,0,7.3680342927128,999,1.7199721336365
55146,32373,54148,999,0.9818847806771,653200,0,7.3680342927128,999,1.7591400146484
56459,32921,55461,999,0.98230605738576,653200,0,7.3680342927128,999,1.7984170913696
57772,32921,56774,999,0.98270818548457,653200,0,7.3680342927128,999,1.8388822078705
59085,32921,58087,999,0.98309244152591,653200,0,7.3680342927128,999,1.8800292015076
60398,32921,59400,999,0.98345999105945,653200,0,7.3680342927128,999,1.9167191982269
61711,32921,60713,999,0.98381190044076,653200,0,7.3680342927128,999,1.9555652141571
63024,33211,62026,999,0.98414914716382,653200,0,7.3680342927128,999,1.9980101585388
64337,33211,63339,999,0.98447262892847,653200,0,7.3680342927128,999,2.0357031822205
