ProcessedItems,instantaneous_ops_per_sec,keyspace_hits,keyspace_misses,hitRate,used_memory,evicted_keys,MemoryFragmentationRatio,keyspace,totalExecutionTime
1,0,0,2,0,549144,0,9.4280261643576,2,0.00040721893310547
8440,8503,3340,5101,0.39568771472574,1049488,902,4.9332093363621,4199,1.1139960289001
16880,11837,7777,9104,0.46069545643031,1049488,4905,4.9332093363621,4199,2.1881120204926
25320,12087,12272,13049,0.48465700406777,1049488,8850,4.9332093363621,4199,3.2171192169189
33760,12155,16748,17013,0.49607535321821,1049488,12814,4.9332093363621,4199,4.2382462024689
42200,11888,21252,20949,0.50358996232317,1049576,16749,4.9327957194143,4200,5.2802040576935
50640,11808,25781,24860,0.50909342232578,1049576,20660,4.9327957194143,4200,6.3479020595551
59080,11991,30274,28807,0.51241515884971,1049488,24608,4.9332093363621,4199,7.3464601039886
67520,12335,34743,32778,0.51455102856889,1049576,28578,4.9327957194143,4200,8.3733232021332
75960,12311,39298,36663,0.5173444267453,1049488,32464,4.9332093363621,4199,9.3887572288513
84400,12280,43813,40588,0.51910522387176,1049488,36389,4.9332093363621,4199,10.402619123459
92840,11643,48389,44452,0.52120291681477,1049488,40253,4.9332093363621,4199,11.484567165375
101280,12006,52962,48319,0.5229213771586,1049488,44120,4.9332093363621,4199,12.515498161316
109720,12315,57397,52324,0.52311772586834,1049576,48124,4.9327957194143,4200,13.50547003746
118160,12698,61982,56179,0.52455547938829,1049488,51980,4.9332093363621,4199,14.47833108902
126600,12448,66525,60076,0.52546978301909,1049576,55876,4.9327957194143,4200,15.470183134079
135040,12535,71096,63945,0.5264771439785,1049576,59745,4.9327957194143,4200,16.464792013168
143480,12519,75529,67952,0.52640419288965,1049576,63752,4.9327957194143,4200,17.445707082748
151920,12470,80058,71863,0.5269712547969,1049576,67663,4.9327957194143,4200,18.45201420784
160360,12188,84665,75696,0.52796502890354,1049576,71496,4.9327957194143,4200,19.463426113129
168800,12470,89259,79542,0.52878241242647,1049576,75342,4.9327957194143,4200,20.444391012192
177240,12430,93727,83514,0.5288110538758,1049488,79315,4.9332093363621,4199,21.448801040649
185680,12323,98318,87363,0.52949951799053,1049576,83163,4.9327957194143,4200,22.450751066208
194120,12558,102824,91297,0.52969024474426,1049488,87098,4.9332093363621,4199,23.441934108734
202560,12371,107358,95203,0.5300033076456,1049576,91003,4.9327957194143,4200,24.451961040497
211000,11919,111914,99087,0.53039559054222,1049488,94888,4.9332093363621,4199,25.492034196854
219440,12377,116409,103032,0.53047971892217,1049488,98833,4.9332093363621,4199,26.484063148499
227880,12248,121029,106852,0.53110614750681,1049576,102652,4.9327957194143,4200,27.512295007706
236320,12001,125590,110731,0.53143817096238,1049576,106531,4.9327957194143,4200,28.502669095993
244760,12655,130197,114564,0.53193523478005,1049576,110364,4.9327957194143,4200,29.485559225082
253200,12256,134704,118497,0.53200421799282,1049488,114298,4.9332093363621,4199,30.515286207199
261640,11940,139253,122388,0.53222927599268,1049576,118188,4.9327957194143,4200,31.541455030441
270080,12152,143756,126325,0.53226994864504,1049576,122125,4.9327957194143,4200,32.574161052704
278520,12162,148340,130181,0.532598978174,1049576,125981,4.9327957194143,4200,33.573375225067
286960,12530,152819,134141,0.53254460551993,1049488,129942,4.9332093363621,4199,34.558462142944
295400,12654,157399,138001,0.53283344617468,1049488,133802,4.9332093363621,4199,35.526130199432
303840,12285,161933,141907,0.53295484465508,1049488,137708,4.9332093363621,4199,36.570532083511
312280,12089,166487,145793,0.5331337261432,1049488,141594,4.9332093363621,4199,37.570033073425
320720,12522,170993,149726,0.53315519192814,1049488,145527,4.9332093363621,4199,38.563318014145
329160,12680,175541,153618,0.53330153512436,1049488,149419,4.9332093363621,4199,39.528251171112
337600,12731,180047,157552,0.53331615318766,1049488,153353,4.9332093363621,4199,40.511887073517
346040,12485,184501,161538,0.53317978609348,1049576,157338,4.9327957194143,4200,41.524587154388
354480,12129,188983,165495,0.53313040583619,1049488,161296,4.9332093363621,4199,42.555194139481
362920,12488,193483,169435,0.53313145118181,1049576,165235,4.9327957194143,4200,43.536328077316
371360,12732,198029,173329,0.53325631870055,1049576,169129,4.9327957194143,4200,44.508377075195
379800,12545,202495,177303,0.5331649982359,1049488,173104,4.9332093363621,4199,45.515645027161
388240,12121,207064,181174,0.53334294942793,1049488,176975,4.9332093363621,4199,46.52233505249
396680,12686,211581,185097,0.53338223949904,1049576,180897,4.9327957194143,4200,47.492515087128
405120,12605,216048,189070,0.5332964716453,1049488,184871,4.9332093363621,4199,48.475869178772
413560,12273,220661,192897,0.53356723845265,1049576,188697,4.9327957194143,4200,49.490155220032
