ProcessedItems,instantaneous_ops_per_sec,keyspace_hits,keyspace_misses,hitRate,used_memory,evicted_keys,MemoryFragmentationRatio,keyspace,totalExecutionTime
1,0,0,2,0,549144,0,8.7641857144938,2,0.00046086311340332
2757,2725,1170,1588,0.42422044960116,721416,0,6.6713241735698,1588,0.27937889099121
5514,3875,3257,2258,0.59057116953762,813144,0,5.9187548576882,2258,0.44840478897095
8271,6564,5700,2572,0.68907156673114,840776,0,5.7437224659124,2572,0.59042096138
11028,7961,8264,2765,0.74929730709947,857760,0,5.6299944040291,2765,0.71904301643372
13785,9377,10913,2873,0.79160017408966,867264,0,5.5682975426168,2873,0.84422898292542
16542,12360,13615,2928,0.82300670978662,872104,0,5.5373946226597,2928,0.96080183982849
19299,13724,16342,2958,0.84673575129534,874744,0,5.520682622573,2958,1.0877799987793
22056,15253,19079,2978,0.86498617219023,876504,0,5.5095972180389,2978,1.2029049396515
24813,16718,21827,2987,0.8796244055775,877296,0,5.50462329704,2987,1.3172559738159
27570,18193,24580,2991,0.8915164484422,877648,0,5.5024155470075,2991,1.4517889022827
30327,20846,27334,2994,0.90127934581905,877912,0,5.5007608963085,2994,1.5720188617706
33084,21643,30090,2995,0.90947559316911,878000,0,5.5002095671982,2995,1.689327955246
35841,22136,32846,2996,0.9164109145695,878088,0,5.4996583485938,2996,1.8143908977509
38598,22515,35600,2999,0.92230368662401,878352,0,5.4980053554839,2999,1.9377880096436
41355,22696,38357,2999,0.92748331560112,878352,0,5.4980053554839,2999,2.0476520061493
44112,23110,41114,2999,0.93201550563326,878352,0,5.4980053554839,2999,2.1592078208923
46869,23209,43871,2999,0.93601450821421,878352,0,5.4980053554839,2999,2.2727308273315
49626,23294,46628,2999,0.93956918612852,878352,0,5.4980053554839,2999,2.3890550136566
52383,23333,49385,2999,0.94274969456323,878352,0,5.4980053554839,2999,2.5126829147339
55140,23188,52142,2999,0.94561215792242,878352,0,5.4980053554839,2999,2.6274437904358
57897,23296,54899,2999,0.94820201043214,878352,0,5.4980053554839,2999,2.742663860321
60654,23290,57656,2999,0.95055642568626,878352,0,5.4980053554839,2999,2.8606297969818
63411,23135,60413,2999,0.95270611240775,878352,0,5.4980053554839,2999,2.9942469596863
66168,23120,63170,2999,0.95467666127643,878352,0,5.4980053554839,2999,3.1222429275513
68925,23196,65927,2999,0.95648956852276,878352,0,5.4980053554839,2999,3.2432777881622
71682,23168,68684,2999,0.95816302331097,878352,0,5.4980053554839,2999,3.3617608547211
74439,23191,71441,2999,0.95971252015046,878352,0,5.4980053554839,2999,3.4776020050049
77196,23251,74198,2999,0.96115134007798,878352,0,5.4980053554839,2999,3.5936918258667
79953,23241,76955,2999,0.96249093228606,878352,0,5.4980053554839,2999,3.7051949501038
82710,23272,79712,2999,0.96374121942668,878352,0,5.4980053554839,2999,3.8257048130035
85467,23186,82469,2999,0.96491084382459,878352,0,5.4980053554839,2999,3.9396529197693
88224,23148,85226,2999,0.96600736752621,878352,0,5.4980053554839,2999,4.0566489696503
90981,23261,87983,2999,0.96703743597635,878352,0,5.4980053554839,2999,4.1709778308868
93738,23310,90740,2999,0.9680069128111,878352,0,5.4980053554839,2999,4.2879958152771
96495,23306,93497,2999,0.96892099154369,878352,0,5.4980053554839,2999,4.3993389606476
99252,23183,96254,2999,0.96978428863611,878352,0,5.4980053554839,2999,4.5335528850555
102009,23266,99011,2999,0.97060092147829,878352,0,5.4980053554839,2999,4.6666209697723
104766,23031,101768,2999,0.97137457405481,878352,0,5.4980053554839,2999,4.8031439781189
107523,22905,104525,2999,0.97210855250921,878352,0,5.4980053554839,2999,4.9224708080292
110280,23091,107282,2999,0.97280583237366,878352,0,5.4980053554839,2999,5.0325498580933
113037,23036,110039,2999,0.9734690988871,878352,0,5.4980053554839,2999,5.1428778171539
115794,23167,112796,2999,0.97410078155361,878352,0,5.4980053554839,2999,5.2569539546967
118551,23075,115553,2999,0.9747030838788,878352,0,5.4980053554839,2999,5.3737018108368
121308,23196,118310,2999,0.97527800905127,878352,0,5.4980053554839,2999,5.4859318733215
124065,23347,121067,2999,0.9758273821998,878352,0,5.4980053554839,2999,5.5990970134735
126822,23219,123824,2999,0.9763528697476,878352,0,5.4980053554839,2999,5.7168519496918
129579,23208,126581,2999,0.97685599629572,878352,0,5.4980053554839,2999,5.8372309207916
132336,23006,129338,2999,0.97733815939609,878352,0,5.4980053554839,2999,5.9591829776764
135093,23031,132095,2999,0.97780064251558,878352,0,5.4980053554839,2999,6.0871229171753
